Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
274,48,1,200,3,0.1,0.1,481.16001609323854,332.2150979413804,0.026729533061507393,0.46887636184692383
275,48,1,200,3,1.0,0.1,804.4739813976411,582.6653160736238,0.04719022898328762,0.4361245198683305
276,48,1,200,3,1.0,0.3,494.2138634408439,341.2344332816816,0.02744621914259279,0.42287876389243384
277,48,1,200,3,1.0,0.5,384.76510328034607,267.7298444151988,0.02164032195732751,0.43417484110051935
278,48,1,200,3,1.0,0.7,331.70270846681933,232.9865822633819,0.01890024387254291,0.4360914013602517
279,48,1,200,3,1.0,0.1,804.4424575687302,582.6438112526289,0.04718934461815619,0.4258219979026101
280,48,1,200,5,0.001,0.1,233.88055756196155,162.51834898657876,0.013602813532342028,0.7045653299851851
281,48,1,200,5,0.001,0.3,233.00384725715165,160.23487664201994,0.01354732475174781,0.6486418897455389
282,48,1,200,5,0.001,0.5,234.20870781733572,161.00973477095047,0.013602067740052782,0.6728830987756903
283,48,1,200,5,0.001,0.7,234.65727852731632,161.29458928510854,0.013620385780459172,0.6314083229411732
284,48,1,200,5,0.001,0.1,233.87758578257808,162.51740327742502,0.013602671459689708,0.6744831041856245
285,48,1,200,5,0.01,0.1,290.06648990326784,204.4978549154922,0.01667027332668062,0.6703430739316073
286,48,1,200,5,0.01,0.3,234.58221607708464,163.12998000087643,0.013637861440572108,0.6562475724653765
287,48,1,200,5,0.01,0.5,231.51373360351482,159.9042623031198,0.013484450790167054,0.6476919217543169
288,48,1,200,5,0.01,0.7,232.11277004205797,159.86436349700006,0.013507580790295244,0.6530798131769354
289,48,1,200,5,0.01,0.1,290.00417270825506,204.4561162820698,0.016669134804079437,0.6856479428031228
290,48,1,200,5,0.1,0.1,481.28216100114025,332.3019810909507,0.0267350428960512,0.6564136201685126
291,48,1,200,5,0.1,0.3,295.28385769004166,208.09563687591918,0.01695456722998863,0.6831345124678179
292,48,1,200,5,0.1,0.5,255.4970800005441,179.51984631012843,0.014769729604436234,0.7327903184023771
293,48,1,200,5,0.1,0.7,241.29223420416247,168.53334751047808,0.013986171670634573,0.6349815021861683
294,48,1,200,5,0.1,0.1,481.18069950262094,332.2295201609614,0.026732917098232375,0.6374845938249067
295,48,1,200,5,1.0,0.1,804.4713383746065,582.662698805718,0.04719308184809219,0.6450258818539706
296,48,1,200,5,1.0,0.3,494.0743719662056,341.1413836747704,0.027446113522605942,0.6212985082106157
297,48,1,200,5,1.0,0.5,384.88541933626857,267.80565721414115,0.02164056992165091,0.6305901570753618
298,48,1,200,5,1.0,0.7,331.72043121317733,232.99583701579652,0.018900195603119754,0.8099907745014537
299,48,1,200,5,1.0,0.1,804.4647074177116,582.6617968608002,0.04719325926042605,0.7001289020885121
300,48,1,200,7,0.001,0.1,233.87476045457635,162.51325326639827,0.013602287221581565,0.9837286689064719
301,48,1,200,7,0.001,0.3,233.02130465748112,160.2410608036518,0.013547121410950146,0.9137046337127686
302,48,1,200,7,0.001,0.5,234.22138516640044,161.01154525408677,0.013602539674609837,1.0380656719207764
303,48,1,200,7,0.001,0.7,234.64960567506523,161.28041294269408,0.013619799424607474,1.016332582993941
304,48,1,200,7,0.001,0.1,233.872854654443,162.50792193616928,0.013602270879580429,0.9820155663923784
305,48,1,200,7,0.01,0.1,290.05245692544037,204.49038062785618,0.01667057525748919,1.0115248289975254
