Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE
307,KOSPI.xlsx,48,1,200,7,0.01,0.5,30.45466143711163,23.923036451456937,0.008637641602611773
307,LSE.xlsx,48,1,200,7,0.01,0.5,67.26590571129093,49.19807575673858,0.00685929825229944
307,NASDAQ.xlsx,48,1,200,7,0.01,0.5,218.06627737169467,167.18227918980054,0.013007839432684045
307,NIFTY50.xlsx,48,1,200,7,0.01,0.5,174.68732899284984,132.3336643232306,0.008009477077168706
307,NYSE.xlsx,48,1,200,7,0.01,0.5,174.81143916934093,134.86914300838785,0.008611889635893669
307,RUSSELL2000.xlsx,48,1,200,7,0.01,0.5,33.11551170911812,26.79748463536452,0.01319920598205627
307,SENSEX.xlsx,48,1,200,7,0.01,0.5,593.3618714545091,448.40715723883477,0.00809657607427829
307,SP500.xlsx,48,1,200,7,0.01,0.5,52.45884088196763,39.621675700769714,0.009597079873633795
307,SSE.xlsx,48,1,200,7,0.01,0.5,34.8640027313977,26.41057134719093,0.007887196510942758
227,DJI.xlsx,48,1,100,7,0.01,0.5,356.02497563463623,270.6324035916664,0.008166630471451436
227,HSI.xlsx,48,1,100,7,0.01,0.5,380.7154962800688,288.7902190858893,0.01270225186607345
227,KOSPI.xlsx,48,1,100,7,0.01,0.5,30.47090953445395,23.9318300729335,0.008641094587155895
227,LSE.xlsx,48,1,100,7,0.01,0.5,67.27019876361591,49.202736506546536,0.0068599476847056706
227,NASDAQ.xlsx,48,1,100,7,0.01,0.5,218.15096473481333,167.2094555003525,0.013010323225358717
227,NIFTY50.xlsx,48,1,100,7,0.01,0.5,174.66215034147228,132.35196573704047,0.008010298466545275
227,NYSE.xlsx,48,1,100,7,0.01,0.5,174.80820784354984,134.86879904166491,0.008611787660935876
227,RUSSELL2000.xlsx,48,1,100,7,0.01,0.5,33.12230781064208,26.7992164826838,0.013200565590982339
227,SENSEX.xlsx,48,1,100,7,0.01,0.5,593.2953906577635,448.2872158162378,0.008094522858115063
227,SP500.xlsx,48,1,100,7,0.01,0.5,52.458890762040056,39.630960846679976,0.00959911721881661
227,SSE.xlsx,48,1,100,7,0.01,0.5,34.864688669754266,26.410561188280063,0.00788721204637338
247,DJI.xlsx,48,1,200,1,0.01,0.5,356.01839144190455,270.6420233669647,0.008166829959147652
247,HSI.xlsx,48,1,200,1,0.01,0.5,380.71452337262707,288.79006029065766,0.012702200077859988
247,KOSPI.xlsx,48,1,200,1,0.01,0.5,30.460049725129142,23.92621221570973,0.008638901898643159
