Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE,Time
564,HSI.xlsx,96,1,200,1,0.001,1.0,383.78578634726676,285.41628228099415,0.011459443894134246,0.13071918487548828
564,KOSPI.xlsx,96,1,200,1,0.001,1.0,37.42391806227417,28.187448750146242,0.012918333124907299,0.13057374954223633
564,LSE.xlsx,96,1,200,1,0.001,1.0,114.82836339339748,78.74381523059168,0.013123512561091878,0.13509178161621094
564,NASDAQ.xlsx,96,1,200,1,0.001,1.0,201.9324668097841,145.39342926382434,0.014988580563683771,0.13564324378967285
564,NIFTY50.xlsx,96,1,200,1,0.001,1.0,217.72068459226494,149.75045279710966,0.01432052231857577,0.13770484924316406
564,NYSE.xlsx,96,1,200,1,0.001,1.0,253.97717066718567,169.46944642962944,0.014360845082596387,0.134627103805542
564,RUSSELL2000.xlsx,96,1,200,1,0.001,1.0,37.24858983315602,27.088721598026765,0.019056483661779474,0.13497495651245117
564,SENSEX.xlsx,96,1,200,1,0.001,1.0,761.5017173282736,520.7780552298699,0.014658217843597925,0.12974262237548828
564,SP500.xlsx,96,1,200,1,0.001,1.0,61.7875271293186,41.64830834482061,0.013796066601883936,0.13577866554260254
564,SSE.xlsx,96,1,200,1,0.001,1.0,41.05147957518152,30.684801915607913,0.009701096187395373,0.12647533416748047
565,DJI.xlsx,96,1,200,1,0.01,0.1,706.1002173769884,459.6844972726768,0.01833959973443693,0.14266633987426758
565,HSI.xlsx,96,1,200,1,0.01,0.1,416.02733543838156,316.1132863225493,0.012641562073265626,0.1400604248046875
565,KOSPI.xlsx,96,1,200,1,0.01,0.1,44.85754635801352,34.23354191089714,0.015530342545271804,0.13305139541625977
565,LSE.xlsx,96,1,200,1,0.01,0.1,127.06166958992569,84.57477959742411,0.014073076123492373,0.1327342987060547
565,NASDAQ.xlsx,96,1,200,1,0.01,0.1,265.7342111900511,207.06750670021503,0.02113183163716065,0.13159394264221191
565,NIFTY50.xlsx,96,1,200,1,0.01,0.1,287.581814784237,209.57545164954647,0.01963098310634777,0.1272883415222168
565,NYSE.xlsx,96,1,200,1,0.01,0.1,291.5667806498081,193.52641287546106,0.016342462638369533,0.13414454460144043
565,RUSSELL2000.xlsx,96,1,200,1,0.01,0.1,43.87777833302617,31.489056887328815,0.02185571286152129,0.13199400901794434
565,SENSEX.xlsx,96,1,200,1,0.01,0.1,996.3196548961755,723.3344490246725,0.01993338516397635,0.13312387466430664
565,SP500.xlsx,96,1,200,1,0.01,0.1,79.14027302401112,54.92164198213593,0.018089855835786758,0.134324312210083
565,SSE.xlsx,96,1,200,1,0.01,0.1,46.87915027251848,33.39955480180772,0.010494971647384482,0.1285572052001953
566,DJI.xlsx,96,1,200,1,0.01,0.3,560.628312217119,365.8026095056069,0.014565354341558551,0.1443929672241211
566,HSI.xlsx,96,1,200,1,0.01,0.3,378.40734200571677,280.3395494989506,0.01124213909821416,0.13146018981933594
566,KOSPI.xlsx,96,1,200,1,0.01,0.3,38.02782847569799,28.72928045914486,0.013116152359060397,0.12822270393371582
566,LSE.xlsx,96,1,200,1,0.01,0.3,115.1647469182306,77.61919449944847,0.012919589363365505,0.14444398880004883
566,NASDAQ.xlsx,96,1,200,1,0.01,0.3,206.4053632941688,153.03139700486597,0.015633662360785113,0.137711763381958
566,NIFTY50.xlsx,96,1,200,1,0.01,0.3,218.17498424571926,155.41842267428837,0.014708079188982329,0.13330626487731934
566,NYSE.xlsx,96,1,200,1,0.01,0.3,250.0231765595347,165.27704536936258,0.013993595461964716,0.13531875610351562
566,RUSSELL2000.xlsx,96,1,200,1,0.01,0.3,37.128128767220595,26.40906330826096,0.01853415337570346,0.1329653263092041
566,SENSEX.xlsx,96,1,200,1,0.01,0.3,760.4094937447774,540.3939977791478,0.015039026963827086,0.13970208168029785
566,SP500.xlsx,96,1,200,1,0.01,0.3,62.22057161847625,42.43978462515612,0.014018851541786602,0.13508224487304688
566,SSE.xlsx,96,1,200,1,0.01,0.3,40.4630986701361,29.103012270501267,0.009176428998653325,0.15644097328186035
567,DJI.xlsx,96,1,200,1,0.01,0.5,552.4976228406797,362.71956683440436,0.01444735159480963,0.13539648056030273
567,HSI.xlsx,96,1,200,1,0.01,0.5,379.5577319656178,281.8203856755979,0.011308713560908538,0.13094210624694824
567,KOSPI.xlsx,96,1,200,1,0.01,0.5,37.554024796061015,28.316789141403056,0.012951444431405786,0.12853097915649414
567,LSE.xlsx,96,1,200,1,0.01,0.5,114.74145911899765,78.0282649777239,0.012997584023517916,0.14311885833740234
